# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
鞖	afev	1
鞱	afev	1
靸	afey	1
葑	aff	34
芏	aff	2
鞲	aff	1
巨无霸	affa	293
某地	affb	1
蕓	affc	1
鞋	afff	16043
葑	afff	34
茥	afff	1
鞲	afff	1
靯	affg	1
靬	affh	13
甘露	affk	283
鞊	affk	1
匹夫无罪	affl	1
韇	affm	1
靶场	affn	161
勒索	affp	1010
韃	affp	1
蕘	affq	1
甘霖	affs	116
劳动者	afft	525
蔡元培	affu	301
苇塘	affy	19
菱形	afga	776
萧规曹随	afgb	3
某天	afgd	967
落井下石	afgd	451
甘于	afgf	103
韁	afgg	1
鞋带	afgk	491
芸豆	afgk	202
某事	afgk	1
东南亚	afgo	3545
靰	afgq	2
勒死	afgq	1
鞕	afgq	1
靺	afgs	69
功亏一篑	afgt	19
鞆	afgw	1
鞁	afhc	3
鞐	afhh	1
蒖	afhw	1
某些	afhx	8814
蒜	afi	2268
芜湖	afid	1685
鞘	afie	990
鞺	afif	1
蒜	afii	2268
鞜	afij	1
鞩	afij	1
鞝	afik	1
甘油	afim	209
蒜泥	afin	218
鞉	afiq	1
苿	afiu	1
甘当	afiv	5
莍	afiy	1
革	afj	1624
芉	afj	1
勒紧	afjc	1
某时	afjf	1
鞸	afjf	1
靼	afjg	2
鞮	afjh	70
某日	afjj	1
鞰	afjl	1
鞨	afjn	67
韅	afjo	1
暮鼓晨钟	afjq	7
薣	afkc	1
鞙	afke	1
薹	afkf	12
鞓	afkg	1
鞋跟	afkh	1
蘦	afkk	1
虂	afkk	1
鞼	afkm	1
薳	afkp	3
鞻	afkv	1
勒	afl	40095
鞇	afld	1
蕾	aflf	4404
某甲	aflh	41
某男	afll	1
匵	aflm	1
藚	aflm	1
勒	afln	40095
劳动力	aflt	943
鞻	aflv	1
贰	afm	627
鞅	afmd	111
萳	afmf	2
鞋帽	afmh	1
贰	afmi	627
貳	afmi	1
鞍山	afmm	663
靹	afmw	1
苇	afn	522
芌	afnb	1
甘居	afnd	1
薵	afnf	1
靵	afnf	1
苇	afnh	522
鞋刷	afnm	23
恭喜发财	afnm	1
著书	afnn	154
革履	afnt	2
甘心	afny	1708
鞋类	afod	1
鞋业	afog	1
鞭炮	afoq	1256
落地灯	afos	16
鞣料	afou	1
鞋粉	afow	1
鞍	afp	451
鞚	afpa	1
荸	afpb	3
匹夫之勇	afpc	2
某家	afpe	1
葧	afpl	1
黄埔军校	afps	1
鞋袜	afpu	31
鞍	afpv	451
落地窗	afpw	142
斯坦福	afpy	624
鞠	afq	645
芫	afq	58
芜	afqb	145
芫	afqb	58
菱角	afqe	147
鞋印	afqg	1
著名	afqk	12446
鞍钢	afqm	68
鞄	afqn	1
鞠	afqo	645
墓志铭	afqq	699
鞔	afqq	3
荺	afqu	1
莰	afqw	8
鞫	afqy	21
韂	afqy	3
靮	afqy	1
靳	afr	643
鞭挞	afrd	54
鞞	afrf	1
斯堪的纳维亚	afrg	1
靳	afrh	643
某年	afrh	1
甘泉	afri	175
劳教所	afrn	110
鞭打	afrs	192
莱索托	afrt	1
鞡	afru	2
鞋垫	afrv	387
某	afs	15041
鞋柜	afsa	1
东走西顾	afsd	1
靶标	afsf	1
甘醇	afsg	15
靪	afsh	1
靶机	afsm	1
韆	afsp	1
某	afsu	15041
著述	afsy	329
著	aft	32606
蓍	aft	26
鞒	aft	10
鞭笞	aftc	88
甘甜	aftd	27
甛	aftd	1
鞭毛	aftf	120
鞭策	aftg	355
某处	afth	246
苇箔	afti	4
著	aftj	32606
蓍	aftj	26
鞒	aftj	10
某种	aftk	2386
鞽	aftk	1
鞠躬	aftm	560
鞦	afto	1
著称	aftq	860
某物	aftr	1
落地生根	afts	81
荖	aftx	175
鞂	afty	1
蔷	afu	146
蕔	afuc	1
蒜头	afud	239
靽	afuf	3
甘美	afug	65
鞧	afug	10
邯郸	afuj	1848
蔷	afuk	146
某部	afuk	1
鞛	afuk	1
薘	afup	1
某次	afuq	1
蒜瓣	afur	1
革新	afus	582
鞭痕	afuv	1
茫无头绪	afux	1
蓻	afuy	1
鞎	afve	1
甘肃	afvi	3258
鞀	afvk	1
鞬	afvp	16
芜杂	afvs	6
某女	afvv	1
靭	afvy	1
靱	afvy	1
鞭	afw	1158
七零八落	afwa	22
鞥	afwa	1
蕶	afwc	1
藝	afwc	1
七零八碎	afwd	5
七老八十	afwf	102
革命	afwg	20140
某个	afwh	4507
薔	afwk	1
鞈	afwk	1
靲	afwn	1
荒无人烟	afwo	71
爇	afwo	3
鞭	afwq	1158
某件	afwr	143
甘休	afws	1
著作	afwt	5767
菱	afwt	817
芙	afwu	2915
某位	afwu	432
某人	afww	6291
靴	afwx	3680
勒令	afwy	491
藿	afwy	47
蓺	afwy	1
鞃	afxc	1
莎士比亚	afxg	505
靷	afxh	1
靿	afxl	2
鞿	afxt	1
蕾丝	afxx	1102
苇席	afya	4
鞟	afyb	1
鞹	afyb	1
蘾	afye	1
鞋店	afyh	1
甘为	afyl	39
韀	afyo	1
鞋底	afyq	452
著文	afyy	16
七	ag	41294
荆	aga	1385
花开花落	agaa	1
芋艿	agae	1
華	agaf	1
荆	agaj	1385
茾	agaj	1
荊	agaj	1
鷨	agao	1
巧匠	agar	9
茉莉	agat	1225
莱切	agav	1
荆花	agaw	1
邼	agbh	1
萅	agbj	1
芚	agbn	1
巧劲	agca	1
荎	agcf	1
菿	agcj	1
匡	agd	1426
弌	agd	1
邪不压正	agdg	61
菾	agdn	1
艺不压身	agdt	1
芒刺在背	agdu	4
莆	age	140
七月	agee	6481
菁	agef	1067
蒪	agef	1
匡助	ageg	1
七彩	ages	754
巧用	aget	1
莆	agey	140
芋	agf	955
颟顸	agfd	6
七十	agfg	1617
惹不起	agfh	2011
匡救	agfi	1
芋	agfj	955
七喜	agfk	1
东正教	agft	822
苦不堪言	agfy	170
七天	aggd	1
七一	aggg	93
匡正	aggh	30
巧事	aggk	1
荆棘	aggm	395
划不来	aggo	221
廿	agh	1136
廿	aghg	1136
	aghg	1
卄	aghh	1
艹	aghh	1
蔫	agho	405
芐	aghu	1
苤	agi	4
花天酒地	agif	95
苤	agig	4
巧学	agip	1
芣	agiu	3
蕙	agj	787
蓴	agjf	1
莫不是	agjg	359
荁	agjg	1
菄	agji	1
巧遇	agjm	311
蕙	agjn	787
莄	agjq	1
苹果	agjs	20349
七星	agjt	721
蔌	agk	3
菫	agkg	1
蒚	agkh	1
蘁	agkk	1
葍	agkl	1
藾	agkm	1
虉	agko	1
藗	agkp	1
荳	agku	1
蔌	agkw	3
共青团	aglf	1524
薑	aglg	1
萰	agli	1
莆田	agll	1179
巧思	agln	48
劻	agln	1
荆轲	agls	268
芾	agm	31
芾	agmh	31
茦	agmi	1
蕀	agmi	1
莿	agmj	314
蓸	agmj	1
颟	agmm	10
蓛	agmt	1
蔶	agmu	1
苪	agmw	1
黃	agmw	1
七	agn	41294
匚	agn	1
匸	agn	1
七情	agng	6
戈壁	agnk	240
巧	agnn	10845
瓨	agnn	1
戈	agnt	9673
戈	agny	9673
弋	agny	161
莱	ago	28830
莱	agou	28830
莱塞	agpf	1
七窍	agpw	25
葬礼	agpy	1171
葬	agq	1828
葬	agqa	1828
七色	agqc	1
薞	agqe	1
塟	agqf	1
薤	agqg	10
苛政猛于虎	agqh	1
戈尔	agqi	3453
茢	agqj	1
薚	agqr	1
七夕	agqt	4810
蔜	agqt	1
匡扶	agrf	20
七年	agrh	6141
匪夷所思	agrl	191
七折	agrr	1
巧手	agrt	164
熙来攘往	agrt	2
茉	ags	580
莱西	agsg	1
功不可没	agsi	40
切不可	agsk	1
茉	agsu	580
